Fire_ID,Agency_Type,NWCG_Reporting_ Agency,Reporting_Unit_ Name,Fire_Name,Year,Fire_Discovery_Date,Date_Contained,NWCG_Cause_Classification,Cause_Description,Fire_Size,Latitude,Longitude,Fire_Origin_Land_Owner,State,County
17,FED,FS,Eldorado National Forest,POWER,2004,10/6/2004,10/21/2004,Human,Equipment and vehicle use,16823.0,38.52333333,-120.2116667,USFS,CA,Amador 
18,FED,FS,Eldorado National Forest,FREDS,2004,10/13/2004,10/17/2004,Human,Power generation transmission distribution,7700.0,38.78,-120.26,USFS,CA,El Dorado 
192,FED,FS,Tonto National Forest,THREE,2005,6/21/2005,6/29/2005,Natural,Natural,16100.0,33.72333333,-111.275,USFS,AZ,Gila 
1520,FED,FS,Gila National Forest,FORK,2005,5/29/2005,8/29/2005,Natural,Natural,11936.0,33.61333333,-108.5588889,USFS,NM,Catron 
3601,FED,FS,Nezperce National Forest,RUNNING LAKE,2005,8/10/2005,9/30/2005,Natural,Natural,7404.0,45.92333333,-115.025,USFS,ID,Idaho 
3634,FED,FS,Dixie National Forest,MILL CREEK,2005,7/20/2005,7/22/2005,Natural,Natural,7892.0,37.17388889,-113.5383333,MISSING/NOT SPECIFIED,UT,Washington 
3771,FED,FS,Bitterroot National Forest,BEAVER JACK,2005,8/1/2005,10/31/2005,Natural,Natural,7244.4,45.73027778,-114.7066667,USFS,ID,Idaho 
3887,FED,FS,Umatilla National Forest,SCHOOL,2005,8/5/2005,10/1/2005,Human,Power generation transmission distribution,52000.0,46.23444444,-117.6805556,STATE OR PRIVATE,WA,Columbia 
4178,FED,FS,Salmon-Challis National Forest,NINE SHOT,2005,8/26/2005,10/31/2005,Natural,Natural,20400.0,45.09055556,-114.7036111,USFS,ID,Lemhi 
4356,FED,FS,Humboldt National Forest,NORTH ROAD,2005,8/29/2005,8/31/2005,Human,Debris and open burning,12855.0,41.99555556,-117.6388889,MISSING/NOT SPECIFIED,NV,Humboldt 
4628,FED,FS,Gila National Forest,JOHNSON,2005,6/12/2005,8/29/2005,Natural,Natural,11611.0,34.04666667,-108.8794444,USFS,NM,Catron 
4718,FED,FS,Payette National Forest,BEAR CREEK WFU,2005,8/2/2005,11/4/2005,Natural,Natural,5722.0,45.45583333,-114.9775,USFS,ID,Idaho 
4762,FED,FS,Kaibab National Forest,MUDERSBACH,2005,6/24/2005,9/5/2005,Natural,Natural,7260.0,35.86611111,-111.9252778,USFS,AZ,Coconino 
4843,FED,FS,Coronado National Forest,FLORIDA,2005,7/7/2005,7/24/2005,Natural,Natural,23183.0,31.42277778,-111.33,USFS,AZ,Santa Cruz 
4861,FED,FS,Sawtooth National Forest,VALLEY ROAD,2005,9/3/2005,9/28/2005,Human,Debris and open burning,40483.0,43.99277778,-114.7861111,MISSING/NOT SPECIFIED,ID,Blaine 
5032,FED,FS,Gila National Forest,BULL,2005,5/29/2005,10/15/2005,Natural,Natural,77000.0,33.39472222,-108.2897222,USFS,NM,Catron 
5040,FED,FS,Bitterroot National Forest,SIGNAL ROCK,2005,8/9/2005,11/8/2005,Natural,Natural,13327.0,46.14833333,-113.7958333,USFS,MT,Ravalli 
5056,FED,FS,Bitterroot National Forest,ROCK IN,2005,8/3/2005,8/30/2005,Natural,Natural,6869.0,46.05361111,-114.4047222,USFS,MT,Ravalli 
5623,FED,FS,Payette National Forest,JOE CREEK WFU,2005,8/10/2005,11/3/2005,Natural,Natural,13866.0,45.23055556,-115.3205556,USFS,ID,Idaho 
5648,FED,FS,Payette National Forest,WEST FORK WFU,2005,8/13/2005,11/3/2005,Natural,Natural,9933.0,45.23638889,-115.3205556,USFS,ID,Idaho 
5660,FED,FS,Payette National Forest,MISSOURI RIDGE WFU,2005,8/3/2005,11/3/2005,Natural,Natural,6775.0,45.00055556,-115.3875,USFS,ID,Valley 
5849,FED,FS,Prescott National Forest,BUTTE,2005,7/16/2005,7/24/2005,Natural,Natural,7962.0,34.40638889,-111.9797222,USFS,AZ,Yavapai 
5961,FED,FS,Siskiyou National Forest,BLOSSOM,2005,7/21/2005,9/23/2005,Natural,Natural,14772.0,42.72361111,-123.9383333,USFS,OR,Curry 
6269,FED,FS,Cibola National Forest,OK STATE LINE,2005,12/13/2005,12/13/2005,Human,Smoking,6080.0,36.56972222,-103.0,STATE OR PRIVATE,OK,Cimarron 
6538,FED,FS,Lolo National Forest,TARKIO,2005,8/4/2005,10/1/2005,Human,Missing data not specified undetermined,9082.0,47.01888889,-114.6802778,STATE OR PRIVATE,MT,Mineral 
6719,FED,FS,National Forests in Mississippi,WHITE DOG,2005,11/12/2005,11/23/2005,Human,Missing data not specified undetermined,5300.0,31.13833333,-89.1125,USFS,MS,Perry 
6841,FED,FS,Tonto National Forest,EDGE,2005,7/16/2005,7/24/2005,Natural,Natural,72000.0,33.66666667,-111.4666667,USFS,AZ,Maricopa 
7277,FED,FS,Ouachita National Forest,NO MANS LAND,2006,3/13/2006,3/22/2006,Natural,Natural,8294.0,34.44166667,-93.84444444,USFS,AR,Montgomery 
7405,FED,FS,Cibola National Forest,WINDY,2006,3/12/2006,3/12/2006,Human,Missing data not specified undetermined,6343.0,36.66083333,-102.9841667,MISSING/NOT SPECIFIED,OK,Cimarron 
7449,FED,FS,Cibola National Forest,I-40,2006,3/12/2006,3/19/2006,Human,Missing data not specified undetermined,427696.0,35.21666667,-100.9333333,MISSING/NOT SPECIFIED,TX,Gray 
7734,FED,FS,Ouachita National Forest,FLATSIDE,2006,4/7/2006,4/12/2006,Natural,Natural,5091.0,34.83583333,-93.04305556,USFS,AR,Saline 
9376,FED,FS,Humboldt-Toiyabe National Forest,JACKASS,2006,7/17/2006,7/21/2006,Natural,Natural,6255.0,38.55166667,-119.3594444,USFS,CA,Mono 
9456,FED,FS,Gila National Forest,MARTINEZ II,2006,6/14/2006,7/1/2006,Natural,Natural,6618.0,33.59722222,-108.8888889,USFS,NM,Catron 
9462,FED,FS,Gila National Forest,WILSON,2006,6/6/2006,6/17/2006,Natural,Natural,5216.0,33.85722222,-108.2233333,USFS,NM,Catron 
9717,FED,FS,Prescott National Forest,TIGER,2006,6/29/2006,7/8/2006,Natural,Natural,5143.0,34.17916667,-112.2288889,USFS,AZ,Yavapai 
11595,FED,FS,Umatilla National Forest,SHARPS RIDGE,2006,8/19/2006,9/6/2006,Natural,Natural,5394.9,44.80277778,-118.7402778,USFS,OR,Grant 
11712,FED,FS,Gila National Forest,BEAR,2006,6/19/2006,8/23/2006,Human,Recreation and ceremony,55307.0,33.41138889,-108.6313889,USFS,NM,Catron 
11800,FED,FS,Kaibab National Forest,WARM,2006,6/8/2006,8/9/2006,Natural,Natural,58630.0,36.65972222,-112.19,USFS,AZ,Coconino 
12007,FED,FS,Apache-Sitgreaves National Forest,POTATO,2006,6/6/2006,7/10/2006,Natural,Natural,6262.0,34.49416667,-110.7438889,USFS,AZ,Navajo 
12398,FED,FS,Dakota Prairie Grasslands,BLACK HORSE CREEK,2006,7/19/2006,7/24/2006,Natural,Natural,7829.4,45.59583333,-101.9944444,STATE OR PRIVATE,SD,Corson 
12727,FED,FS,Humboldt-Toiyabe National Forest,VERDI (STONE RIDGE),2006,8/11/2006,8/14/2006,Human,Missing data not specified undetermined,6052.0,39.535,-119.9669444,MISSING/NOT SPECIFIED,NV,Washoe 
12855,FED,FS,Cleveland National Forest,SIERRA,2006,2/6/2006,2/6/2006,Human,Missing data not specified undetermined,10584.0,33.85194444,-117.6497222,USFS,CA,Orange 
12889,FED,FS,Gallatin National Forest,BIG CREEK,2006,7/29/2006,10/19/2006,Natural,Natural,14000.0,45.31583333,-110.8686111,MISSING/NOT SPECIFIED,MT,Park 
12900,FED,FS,Gallatin National Forest,DERBY,2006,8/22/2006,10/19/2006,Natural,Natural,207115.0,45.53611111,-109.9347222,USFS,MT,Sweet Grass 
12903,FED,FS,Gallatin National Forest,PASSAGE FALLS,2006,8/29/2006,10/19/2006,Natural,Natural,6620.0,45.23472222,-110.4736111,USFS,MT,Park 
12905,FED,FS,Gallatin National Forest,JUNGLE,2006,8/31/2006,10/19/2006,Natural,Natural,25828.0,45.43694444,-110.3988889,USFS,MT,Park 
12992,FED,FS,Ochoco National Forest,0564 - MAXWELL FIRE,2006,7/24/2006,9/9/2006,Natural,Natural,7145.0,44.49083333,-120.1975,USFS,OR,Wheeler 
