OBJECTID,Shape,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
17,b'\x00\x01\xad\x10\x00\x00\xf8{\xfe\xbb\x8b\r^\xc0\xd0\xd7\xc5j\xfcBC@\xf8{\xfe\xbb\x8b\r^\xc0\xd0\xd7\xc5j\xfcBC@|\x01\x00\x00\x00\xf8{\xfe\xbb\x8b\r^\xc0\xd0\xd7\xc5j\xfcBC@\xfe',17,FS-1418878,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,109,23,,POWER,2004_CA-ENF-017646_POWER,,CA3850212028020041006,POWER,,2004,10/6/2004,280,1415,Human,Equipment and vehicle use,,10/21/2004,295,1000,16823,G,38.52333333,-120.2116667,USFS,CA,5,6005,Amador County
18,b'\x00\x01\xad\x10\x00\x00\xc4\x85\x82\xa0\xa3\x10^\xc0@\xda\xb1\xde\xd6cC@\xc4\x85\x82\xa0\xa3\x10^\xc0@\xda\xb1\xde\xd6cC@|\x01\x00\x00\x00\xc4\x85\x82\xa0\xa3\x10^\xc0@\xda\xb1\xde\xd6cC@\xfe',18,FS-1418881,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,111,35,BHA3,FREDS,2004_CA-ENF-18044_FREDS,,CA3878712031820041013,FREDS,,2004,10/13/2004,287,1618,Human,Power generation/transmission/distribution,,10/17/2004,291,1800,7700,G,38.78,-120.26,USFS,CA,17,6017,El Dorado County
189,b'\x00\x01\xad\x10\x00\x004$\xf5k\x99\xd1[\xc0\x88\xc1)\x04\x96\xdc@@4$\xf5k\x99\xd1[\xc0\x88\xc1)\x04\x96\xdc@@|\x01\x00\x00\x004$\xf5k\x99\xd1[\xc0\x88\xc1)\x04\x96\xdc@@\xfe',192,FS-1419313,FED,FS-FIRESTAT,FS,USAZTNF,Tonto National Forest,312,Tonto National Forest,62,4,BVR2,THREE,2005_AZ-TNF-105_THREE FIRE COMPLEX,2005_AZ-TNF-105_THREE FIRE COMPLEX,AZ3372311127120050621,THREE FIRE COMPLEX (THREE),THREE FIRE COMPLEX,2005,6/21/2005,172,1400,Natural,Natural,,6/29/2005,180,1800,16100,G,33.72333333,-111.275,USFS,AZ,7,4007,Gila County
1506,b'\x00\x01\xad\x10\x00\x004K\xa1\xaa\xc4#[\xc0\xa0\xe49\x88\x81\xce@@4K\xa1\xaa\xc4#[\xc0\xa0\xe49\x88\x81\xce@@|\x01\x00\x00\x004K\xa1\xaa\xc4#[\xc0\xa0\xe49\x88\x81\xce@@\xfe',1520,FS-1422195,FED,FS-FIRESTAT,FS,USNMGNF,Gila National Forest,306,Gila National Forest,21,5,BS5G,FORK,2005_NM-GNF-021_NORTH GILA COMPLEX,2005_NM-GNF-021_NORTH GILA COMPLEX,NM3364710851120050529,FORK WFU,NORTH GILA COMPLEX,2005,5/29/2005,149,1505,Natural,Natural,,8/29/2005,241,1159,11936,G,33.61333333,-108.5588889,USFS,NM,3,35003,Catron County
1589,b'\x00\x01\xad\x10\x00\x00\xd4\xe5\xddVoBZ\xc0\xc0}4A\xb9\x15C@\xd4\xe5\xddVoBZ\xc0\xc0}4A\xb9\x15C@|\x01\x00\x00\x00\xd4\xe5\xddVoBZ\xc0\xc0}4A\xb9\x15C@\xfe',1603,FS-1422367,FED,FS-FIRESTAT,FS,USCOPSF,Pike and San Isabel National Forest,212,Pike San Isabel National Forest,51,4,BY23,MASON,2005_CO-PSF-000683_MASON,,CO3816010503620050706,MASON,,2005,7/7/2005,188,600,Natural,Natural,,7/16/2005,197,2000,11357,G,38.16972222,-105.0380556,USFS,CO,,,
3583,"b""\x00\x01\xad\x10\x00\x00\x88\xce'b\x99\xc1\\\xc00I\xd4\x94/\xf6F@\x88\xce'b\x99\xc1\\\xc00I\xd4\x94/\xf6F@|\x01\x00\x00\x00\x88\xce'b\x99\xc1\\\xc00I\xd4\x94/\xf6F@\xfe""",3601,FS-1426332,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,117,Nezperce National Forest,96,28-Jun,B35G,RUNNING LAKE,2005_ID-NPF-000096_RUNNING COMPLEX,2005_ID-NPF-000096_RUNNING COMPLEX,ID4593311501420050808,RUNNING COMPLEX (RUNNING LAKE),RUNNING COMPLEX,2005,8/10/2005,222,1600,Natural,Natural,,9/30/2005,273,1500,7404,G,45.92333333,-115.025,USFS,ID,49,16049,Idaho County
3616,b'\x00\x01\xad\x10\x00\x00\xc4\xe8\xd9\xdcsb\\\xc0P\xf2\x8d\xcfA\x96B@\xc4\xe8\xd9\xdcsb\\\xc0P\xf2\x8d\xcfA\x96B@|\x01\x00\x00\x00\xc4\xe8\xd9\xdcsb\\\xc0P\xf2\x8d\xcfA\x96B@\xfe',3634,FS-1426381,FED,FS-FIRESTAT,FS,USUTDIF,Dixie National Forest,407,Dixie National Forest,51,18,B1A7,MILL CREEK,2005_UT-CCD-B0J4_DAMMERON COMPLEX,2005_UT-CCD-B0J4_DAMMERON COMPLEX,UT3718911354420050721,DAMMERON COMPLEX (MILL CREEK),DAMMERON COMPLEX,2005,7/20/2005,201,2339,Natural,Natural,,7/22/2005,203,2300,7892,G,37.17388889,-113.5383333,MISSING/NOT SPECIFIED,UT,53,49053,Washington County
3752,b'\x00\x01\xad\x10\x00\x00L\xdc\xd1\xcf9\xad\\\xc0\x00K_\x89y\xddF@L\xdc\xd1\xcf9\xad\\\xc0\x00K_\x89y\xddF@|\x01\x00\x00\x00L\xdc\xd1\xcf9\xad\\\xc0\x00K_\x89y\xddF@\xfe',3771,FS-1426595,FED,FS-FIRESTAT,FS,USMTBRF,Bitterroot National Forest,103,Bitterroot National Forest,35,14,B3L5,BEAVER JACK,2005_MT-BRF-000135_SELWAY-SALMON WFU COMPLEX,2005_MT-BRF-000135_SELWAY-SALMON WFU COMPLEX,ID4572311470820050801,SELWAY-SALMON COMPLEX (BEAVERJACK),SELWAY-SALMON WFU COMPLEX,2005,8/1/2005,213,1900,Natural,Natural,,10/31/2005,304,900,7244.4,G,45.73027778,-114.7066667,USFS,ID,49,16049,Idaho County
3868,b'\x00\x01\xad\x10\x00\x00\x10\xb9\x15\xff\x8dk]\xc0@\x1e\xfd\x13\x02\x1eG@\x10\xb9\x15\xff\x8dk]\xc0@\x1e\xfd\x13\x02\x1eG@|\x01\x00\x00\x00\x10\xb9\x15\xff\x8dk]\xc0@\x1e\xfd\x13\x02\x1eG@\xfe',3887,FS-1426809,FED,FS-FIRESTAT,FS,USORUMF,Umatilla National Forest,614,Umatilla National Forest,19,403-130,B3CQ,SCHOOL,2005_OR-UMF-130_SCHOOL FIRE,,WA4628511761620050805,SCHOOL,,2005,8/5/2005,217,1520,Human,Power generation/transmission/distribution,,10/1/2005,274,800,52000,G,46.23444444,-117.6805556,STATE OR PRIVATE,WA,13,53013,Columbia County
4158,b'\x00\x01\xad\x10\x00\x00\xb0\x82e\xc0\x07\xad\\\xc0x\x8b\xe4\x1e\x97\x8bF@\xb0\x82e\xc0\x07\xad\\\xc0x\x8b\xe4\x1e\x97\x8bF@|\x01\x00\x00\x00\xb0\x82e\xc0\x07\xad\\\xc0x\x8b\xe4\x1e\x97\x8bF@\xfe',4178,FS-1427244,FED,FS-FIRESTAT,FS,USIDSCF,Salmon-Challis National Forest,413,Salmon-Challis National Forest,89,718,B5H4,NINE SHOT,2005_ID-SCF-5603_NINE SHOT,,ID4510011468620050826,NINE SHOT WFU,,2005,8/26/2005,238,1043,Natural,Natural,,10/31/2005,304,1059,20400,G,45.09055556,-114.7036111,USFS,ID,59,16059,Lemhi County
